dataset_name,table_name,column_name,table_description,column_description
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,portfolioid,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",Portfolioid
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,name,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",Name value
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,inbudget,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",Inbudget
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,state,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",State or province
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,profile_id,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",Unique identifier for profile
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,profile_name,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",Profile name
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,region,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",Geographic region
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,reporting_range,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",Reporting range
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,marketplace,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",Sales marketplace
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,account,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",Account
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,source_system_id,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",Unique identifier for source system
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,scrape_date,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",Scrape date
CC_I2O_DATA_ADVERTISE_LAKE,ad_portfolio_master_hstry,load_id,"""Data lake table covering master reference focused on ad portfolio highlighted by fields such as name value, portfolioid.""",Unique identifier for load
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,accountinfo,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Accountinfo
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,countrycode,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Countrycode
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,currencycode,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Currencycode
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,dailybudget,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Dailybudget
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,profile_id,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Unique identifier for profile
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,timezone,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Timezone
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,scrape_date,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Scrape date
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,reporting_range,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Reporting range
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,account,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Account
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,region,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Geographic region
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,marketplace,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Sales marketplace
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,source_system_id,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Unique identifier for source system
CC_I2O_DATA_ADVERTISE_LAKE,ad_profile_master,load_id,"""Data lake table covering master reference focused on ad profile highlighted by fields such as unique identifier for profile, reporting range, sales marketplace.""",Unique identifier for load
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,region,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Geographic region
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,platform,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Platform
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,campaign_id,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Unique identifier for campaign
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,campaign_name,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Campaign name
