database_name,table_name,Column Description,Column Name,Column Type,Constraint,Default Value,Index,Nullable
i2oretail_dev,abc,,org_type_cd,varchar(20),,,No,Yes
i2oretail_dev,abc,,ui_screen_cd,varchar(40),,,No,Yes
i2oretail_dev,abc,,property_cd,varchar(100),,,No,Yes
i2oretail_dev,abc,,property_label,varchar(10000),,,No,Yes
i2oretail_dev,abc,,url,varchar(200),,,No,Yes
i2oretail_dev,abc,,permission_id,int4(32),,,No,Yes
i2oretail_dev,abc,,icon_name,varchar(40),,,No,Yes
i2oretail_dev,abc,,org_id,int4(32),,,No,Yes
i2oretail_dev,abc,,filter_metadata,jsonb,,,No,Yes
i2oretail_dev,account,,account_id,int4(32),PRIMARY KEY,nextval('i2oretail_dev.account_account_id_seq'::regclass),Yes,No
i2oretail_dev,account,,org_id,int4(32),"FOREIGN KEY, UNIQUE",,Yes,No
i2oretail_dev,account,,account_name,text,UNIQUE,,Yes,No
i2oretail_dev,account,,is_active,bool,,,No,Yes
i2oretail_dev,account,,marketplace_id,int4(32),"FOREIGN KEY, UNIQUE",,Yes,Yes
i2oretail_dev,account,,source,text,,,No,Yes
i2oretail_dev,account,,created_by,text,,,No,Yes
i2oretail_dev,account,,updated_by,text,,,No,Yes
i2oretail_dev,account,,created_at,timestamptz,,now(),No,Yes
i2oretail_dev,account,,updated_at,timestamptz,,now(),No,Yes
i2oretail_dev,account_activity_otp_details,,account_activity_otp_id,int4(32),PRIMARY KEY,nextval('i2oretail_dev.account_activity_otp_details_account_activity_otp_id_seq'::regclass),Yes,No
i2oretail_dev,account_activity_otp_details,,org_id,int4(32),FOREIGN KEY,,No,Yes
i2oretail_dev,account_activity_otp_details,,org_name,varchar(150),,,No,No
i2oretail_dev,account_activity_otp_details,,type,varchar(150),,,No,No
i2oretail_dev,account_activity_otp_details,,source,varchar(150),,,No,Yes
i2oretail_dev,account_activity_otp_details,,marketplace,varchar(150),,,No,No
i2oretail_dev,account_brand,,account_id,int4(32),PRIMARY KEY,nextval('i2oretail_dev.account_brand_account_id_seq'::regclass),Yes,No
